sentence,character,gender,keyword,bias_type
"A hassled Andrea and Falak are seen inquiring 
around in the police station to reach her.",police,male,police,Gendered Occupation
SURAJKUND POLICE STATION.,POLICE,male,POLICE,Gendered Occupation
"JUMP CUT TO: 
43D. Ext. SURAJKUND POLICE STATION.",POLICE,male,POLICE,Gendered Occupation
"POLICE STATION - NIGHT 
Falak and Andrea are leaving.",POLICE,male,POLICE,Gendered Occupation
"CHECKSCENE 
Falak and andrea return from the police station in 
rickshaw / taxi  
 
45B. EXT.",police,male,police,Gendered Occupation
"So..Minal police station mein 
hai..and 
you’re 
FALAK 
AND",police,male,police,Gendered Occupation
"MAGISTRATE COURT – DAY- OUT 
Minal is brought in a police van with other 
prisoners.",police,male,police,Gendered Occupation
"DEEPAK 
Sir let me make it clear - Police 
ke paas koi case nahi hai!",Police,male,Police,Gendered Occupation
"DEEPAK 
Sir let me make it clear - Police 
ke paas koi case nahi hai!",Police,male,Police,Gendered Occupation
"Lekin police 
ne Rajvir Singh ke influence mein 
aakar, mere client Minal Arora ki 
complaint ko ignore kar ke Rajvir 
Singh ki complaint ke basis pe ek 
chargesheet darj kar diya.",police,male,police,Gendered Occupation
"She smiles at this act as we see a doctor checking 
her.",doctor,male,doctor,Gendered Occupation
The doctor finishes and makes a sign at Deepak.,doctor,male,doctor,Gendered Occupation
Deepak steps out to speak with the doctor.,doctor,male,doctor,Gendered Occupation
"(DAY2 – 29TH JUNE) 
Deepak calls the doctor - surgeon on stand again 
 Deepak calls on the doctor  

88 
 
   
 
 
FOR DUBBING 
 
DEEPAK 
I would like to call the doctor 
again 
DEEPAK 
(gets up)",doctor,male,doctor,Gendered Occupation
"(DAY2 – 29TH JUNE) 
Deepak calls the doctor - surgeon on stand again 
 Deepak calls on the doctor  

88 
 
   
 
 
FOR DUBBING 
 
DEEPAK 
I would like to call the doctor 
again 
DEEPAK 
(gets up)",doctor,male,doctor,Gendered Occupation
"(DAY2 – 29TH JUNE) 
Deepak calls the doctor - surgeon on stand again 
 Deepak calls on the doctor  

88 
 
   
 
 
FOR DUBBING 
 
DEEPAK 
I would like to call the doctor 
again 
DEEPAK 
(gets up)",doctor,male,doctor,Gendered Occupation
"It could according to the doctor 
have been just a ...  
(searches for the word) 
Reflexive action.",doctor,male,doctor,Gendered Occupation
"Sarla 
ji - Yeh aapki police diary ki copy 
hai...  
(showing the photocopy of 
the register to her)",police,male,police,Gendered Occupation
"Yeh yahan aapne ghatna ki raat 
police diary ki hui hai case ki - 
Right?",police,male,police,Gendered Occupation
"Aapne 132 kilometre 
per hour ki speed mein gaadi start 
ki aur usi speed mein Surajkund 
police station ke aage rok di... 
(to the judge)",police,male,police,Gendered Occupation
"But your honour police kuchh bhi 
kar sakti hai toh chalo maan letey 
hain.",police,male,police,Gendered Occupation
"Inki 
galti nahi hoti toh yeh police ko 
bulaake complain kartin but koi 
prostitute (OR aisi ladki) police 
ko kyun bulayegi?",police,male,police,Gendered Occupation
"Aur itne din tak 
chup rahin... agar galti nahi hoti 
toh incident ke itne din baad tak 
yeh police se bhaagtin nahi balki 
khud chalke police ke paas jaatin.",police,male,police,Gendered Occupation
"After all Rajvir 
Singh ek reputable family se hai - 
young hai - uske saamne uska poora 
future hai - Maine aapke saamne 
doctor ki report pesh ki jismein 
saaf kaha gaya hai ki humla jaan 
leva tha.",doctor,male,doctor,Gendered Occupation
